"NSC_number","smiles","logp","mol_weight","mol_formula"
3103,"CC(NC1=CC(=CC=C1)C)=O",1.68,149.192,"C9H11NO"
3108,"O=C2C1=C(C=CC=C1)C(N2)=O",1.15,147.133,"C8H5NO2"
3109,"COC(=O)C1=C(N)C=CC=C1",1.88,151.1646,"C8H9NO2"
3113,"C(CC(=O)OC)#N",-0.47,99.089,"C4H5NO2"
3114,"NC(=O)C1=CC=CC=C1",0.64,121.1384,"C7H7NO"
3115,"NC(=O)C1=C(O)C=CC=C1",1.28,137.1378,"C7H7NO2"
3116,"CCOC1=CC=C(N)C=C1",1.24,137.181,"C8H11NO"
3120,"OC(=O)C1=C(C(=O)O)C=CC=C1[N+](=O)[O-]",0.75,211.1306,"C8H5NO6"
3122,"COC1=C(N)C=CC=C1",1.18,123.1542,"C7H9NO"
3124,"O=NC1=CC=C(O)C=C1",1.29,123.111,"C6H5NO2"
3130,"O=C(CCCC1=C[NH]C2=C1C=CC=C2)O",2.3,203.2402,"C12H13NO2"
3131,"O=C(NC1=CC=CC=C1)C2=CC=CC=C2",2.62,197.236,"C13H11NO"
3133,"CC(N(C1=CC=CC=C1)C2=CC=CC=C2)=O",2.02,211.2628,"C14H13NO"
3136,"ONC(=O)C1=CC=CC=C1",0.26,137.1378,"C7H7NO2"
3138,"CN(C(C)=O)C",-0.77,87.1212,"C4H9NO"
3142,"[O-][N+](=O)C1=C(O)C=C(C)C=C1",2.31,153.1372,"C7H7NO3"
3158,"CC(NC1=C(C=CC=C1)C2=CC=CC=C2)=O",2.02,211.2628,"C14H13NO"
3168,"COC1=CC(=CC=C1N)C2=CC=C(N)C(=C2)OC",1.81,244.2926,"C14H16N2O2"
3188,"NCC(C)O",-0.96,75.1102,"C3H9NO"
3210,"OC(C(Cl)(Cl)Cl)O",0.99,165.4035,"C2H3Cl3O2"
3213,"P(=O)(OCCCl)(OCCCl)OCCCl",1.44,285.4912,"C6H12Cl3O4P"
3240,"P(=O)(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br",4.29,697.6129,"C9H15Br6O4P"
3242,"CC(=O)C1=CC=C(N)C=C1",0.83,135.1652,"C8H9NO"
3245,"O=C(NC1=CC=CC=C1)OCC",2.3,165.1914,"C9H11NO2"
3251,"NC(C(=O)O)CC",-2.54,103.1206,"C4H9NO2"
3252,"O=C(CCC1=C[NH]C2=C1C=CC=C2)O",1.75,189.2134,"C11H11NO2"
3267,"NC1=NC(=NC(=N1)N)C2=CC=CC=C2",1.36,187.2036,"C9H9N5"
3287,"C1(=C2C(=CC=C1)C=CC=C2)NC(N)=S",1.65,202.2734,"C11H10N2S"
3350,"CC34C2C(C1C(C)(C(C(C)=O)CC1)CC2O)CCC3=CC(=O)CC4",2.36,330.4662,"C21H30O3"
3351,"CC34C(C2C(C1C(=CC(=O)CC1)CC2)CC3)CCC4O",2.62,274.4022,"C18H26O2"
3365,"CC(NC1=C(C=CC=C1)C)=O",0.85,149.192,"C9H11NO"
3395,"N1=CC2=C(C=C1)C=CC=C2",2.08,129.161,"C9H7N"
3396,"C1=NC2=C(C=C1)C=CC=C2",2.03,129.161,"C9H7N"
3397,"CC2=NC1=C(C=CC=C1)C=C2",2.59,143.1878,"C10H9N"
3407,"N#CCC1=CC=CC=C1",1.56,117.15,"C8H7N"
3408,"C23=CC1=CC=CC=C1N=C2C=CC=C3",3.4,179.2208,"C13H9N"
3409,"CC1=CC=CC=N1",1.11,93.128,"C6H7N"
3411,"FC(F)(F)C1=CC(=CC(=C1)N)C(F)(F)F",3.57,229.1246,"C8H5F6N"
3412,"CC1=C2C(=NC=C1)C=CC=C2",2.61,143.1878,"C10H9N"
3439,"C([N+](=O)[O-])C1=CC=CC=C1",1.75,137.1378,"C7H7NO2"
3498,"[NH]2C1=CC=CC=C1C3=CC=CC=C23",3.72,167.2098,"C12H9N"
3500,"C1(=CC=C(N)C=C1)C2=CC=C(N)C=C2",1.34,184.2402,"C12H12N2"
3502,"CNC1=CC=CC=C1",1.66,107.1548,"C7H9N"
3503,"COC(=O)C1=CC=C(C(OC)=O)C=C1",2.25,194.1866,"C10H10O4"
3504,"O=CC1=CC(=CC=C1)O",1.38,122.1232,"C7H6O2"
3507,"C(NC(=S)NCC)C",0.57,132.2232,"C5H12N2S"
3510,"C1(=CC=CC=C1)NNC2=CC=CC=C2",2.94,184.2402,"C12H12N2"
3524,"ClC1=CC(=CC=C1N)C2=CC(=C(N)C=C2)Cl",3.51,253.1304,"C12H10Cl2N2"
3526,"[O-][N+](=O)C1=CC=C(C=C1)Br",2.55,202.0071,"C6H4BrNO2"
3534,"CCCCOCCOCCSC#N",1.68,203.2988,"C9H17NO2S"
3538,"[O-][N+](=O)C1=CC(=CC=C1)I",2.94,249.0076,"C6H4INO2"
3546,"[O-][N+](=O)C1=C(N)C=CC(=C1)Cl",2.72,172.5707,"C6H5ClN2O2"
3558,"NNC(=O)C1=CC(=CC=C1)[N+](=O)[O-]",0.23,181.1506,"C7H7N3O3"
3574,"CC1=C2C(=CC=C1)C=CC=C2",3.87,142.2,"C11H10"
3575,"CC2=CC1=C(C=CC=C1)C=C2",3.86,142.2,"C11H10"
3576,"OCC(CC)(CO)CO",-1.48,134.1748,"C6H14O3"
3633,"CC(C(F)(F)F)(C)O",1.04,128.0939,"C4H7F3O"
3637,"OC(C(F)(F)F)C",0.71,114.0671,"C3H5F3O"
3641,"CC(=O)C1=C([N+](=O)[O-])C=CC=C1",1.28,165.1482,"C8H7NO3"
3645,"C(CCC[N+](=O)[O-])C",2.01,117.1474,"C5H11NO2"
3648,"CCCC[N+](=O)[O-]",1.47,103.1206,"C4H9NO2"
3651,"CC([N+](=O)[O-])(C)C",1.17,103.1206,"C4H9NO2"
3660,"CC(C[N+](=O)[O-])C",1.4,103.1206,"C4H9NO2"
3696,"CC1=CC=C(O)C=C1",1.94,108.1396,"C7H8O"
3697,"CC(C)(C)C1=CC=C(O)C=C1",3.31,150.22,"C10H14O"
3698,"CC(=O)C1=CC=C(O)C=C1",1.35,136.15,"C8H8O2"
3701,"ClC(C(=C(Cl)Cl)Cl)=C(Cl)Cl",4.78,260.762,"C4Cl6"
3703,"CCCCCCCO",2.62,116.2028,"C7H16O"
3706,"CC(CCCC)O",1.76,102.176,"C6H14O"
3712,"CC(CCCCCC)=O",2.37,128.2138,"C8H16O"
3713,"CCCCCCCCCC(=O)OC",4.41,186.2936,"C11H22O2"
3714,"OC1CCC(C)CC1",1.79,114.187,"C7H14O"
3716,"CC(CCC(=O)O)=O",-0.49,116.1164,"C5H8O3"
3719,"OC(=O)C2=CC1=C(C=CC=C1)C=C2O",3.05,188.1824,"C11H8O3"
3721,"O=C1C3=C(C(=O)C2=C1C=CC=C2)C=CC=C3NC",4.1,237.2574,"C15H11NO2"
3724,"CCCCCCCCCCCCO",5.13,186.3368,"C12H26O"
3735,"C(NC(=S)NCCCC)CCC",2.75,188.3304,"C9H20N2S"
3769,"N#CCC#N",-0.6,66.0622,"C3H2N2"
3772,"OC(=O)C1=C(C=CC=C1)I",2.4,248.0198,"C7H5IO2"
3773,"OC(=O)C1=CC=C(I)C=C1",3.02,248.0198,"C7H5IO2"
3777,"N#CC1=CC=C(OC)C=C1",1.7,133.1494,"C8H7NO"
3778,"COC1=C(C(=O)O)C=CC=C1",1.59,152.1494,"C8H8O3"
3783,"COC(=O)C1=CC=C(N)C=C1",1.37,151.1646,"C8H9NO2"
3785,"CCC(=O)C1=C(O)C=CC=C1",2.54,150.1768,"C9H10O2"
3787,"O=C(CC1=C[NH]C2=C1C=CC=C2)O",1.41,175.1866,"C10H9NO2"
3789,"CC(CCC=C(C)C)(C=C)O",2.97,154.2516,"C10H18O"
3790,"CN(C1=CC=CC=C1)C2=CC=CC=C2",3.9,183.2524,"C13H13N"
3797,"O=C(C1=C(C=CC=C1)C(OC)=O)C2=CC=CC=C2",2.7,240.258,"C15H12O3"
3807,"C(CCCC#N)#N",-0.72,94.1158,"C5H6N2"
3809,"[O-][N+](=O)C1=CC=C([N+](=O)[O-])C=C1",1.46,168.1086,"C6H4N2O4"
3812,"O=C2NC1=CC=CC=C1O2",1.16,135.122,"C7H5NO2"
3814,"OCC1=C(C=CC=C1)O",0.73,124.139,"C7H8O2"
3815,"COC1=C(O)C=CC=C1",1.32,124.139,"C7H8O2"
3816,"CC1CCC(=O)CC1",1.38,112.1712,"C7H12O"
3827,"COC(=O)C1=CC=C(O)C=C1",1.96,152.1494,"C8H8O3"
3828,"CN(C=O)C1=CC=CC=C1",1.09,135.1652,"C8H9NO"
3829,"CC1=C(O)C=CC(=C1)C",2.3,122.1664,"C8H10O"
3831,"CC(OC1=C(C=CC=C1)OC)=O",1.38,166.1762,"C9H10O3"
3838,"CC1=C(C)C(=C(C)C(=C1C)C)C",5.11,162.2742,"C12H18"
3851,"N(C1=C(Cl)C=CC=C1)C2=NC(=NC(=N2)Cl)Cl",3.88,275.5243,"C9H5Cl3N4"
3905,"C1(=NC(=CC=C1)C2=CC=CC=N2)C3=CC=CC=N3",1.96,233.272,"C15H11N3"
3920,"CCCCCCCCCCCC(=O)OCCCC",6.51,256.4276,"C16H32O2"
3973,"NC(CC(=O)O)C(=O)O",-3.89,133.1036,"C4H7NO4"
3974,"BrC1=CN=CC=C1",1.6,157.9973,"C5H4BrN"
3980,"OC(=O)C1=CC(=CC=C1)Br",2.87,201.0193,"C7H5BrO2"
3981,"OC(=O)C1=C(O)C=CC(=C1)Br",3.23,217.0187,"C7H5BrO3"
3987,"COC1=CC(=CC=C1O)C(=O)O",1.43,168.1488,"C8H8O4"
3989,"CC(NC1=C(C=CC=C1)O)=O",0.72,151.1646,"C8H9NO2"
3990,"CC(NC1=CC(=CC=C1)O)=O",0.73,151.1646,"C8H9NO2"
3991,"CC(NC1=CC=C(O)C=C1)=O",0.46,151.1646,"C8H9NO2"
3992,"OCC1=CC=C(C)C=C1",1.58,122.1664,"C8H10O"
4000,"OC(=O)C1=C(NC(C)=O)C=CC=C1",1.88,179.175,"C9H9NO3"
4001,"CC(NC1=CC(=CC=C1)C(=O)O)=O",1.32,179.175,"C9H9NO3"
4002,"CC(NC1=CC=C(C(=O)O)C=C1)=O",1.31,179.175,"C9H9NO3"
4004,"CC(NC1=C(C=CC=C1)OC)=O",0.67,165.1914,"C9H11NO2"
4005,"CC(NC1=CC(=CC=C1)OC)=O",1.3,165.1914,"C9H11NO2"
4028,"CC(CCCCCCCCC)=O",4.09,170.2942,"C11H22O"
4036,"OCC1OC(C(O)C(C1O)O)OC2=CC=C(O)C=C2",-1.35,272.2542,"C12H16O7"
4041,"O=C(C(=O)C1=CC=CC=C1)C2=CC=CC=C2",3.38,210.2318,"C14H10O2"
4050,"OC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3",3.68,260.3348,"C19H16O"
4077,"CCCNCCC",1.67,101.1912,"C6H15N"
4079,"[O-][N+](=O)C1=CC=C(NN)C=C1",1.41,153.1402,"C6H7N3O2"
4117,"CCN",-0.13,45.084,"C2H7N"
4123,"[O-][N+](=O)C1=CC(=C(O)C(=C1)Cl)Cl",2.94,208.0006,"C6H3Cl2NO3"
4129,"COC1=CC=C(Cl)C=C1",2.78,142.5847,"C7H7ClO"
4136,"COC(=O)C1=C([N+](=O)[O-])C=CC=C1",1.66,181.1476,"C8H7NO4"
4137,"COC(=O)C1=CC=C([N+](=O)[O-])C=C1",1.89,181.1476,"C8H7NO4"
4138,"COC1=CC(=C(OC)C=C1)N",1.2,153.1804,"C8H11NO2"
4139,"CCCCC(C(=O)O)CC",2.64,144.2132,"C8H16O2"
4141,"[O-][N+](=O)C2=CC1=C(N=CC=C1)C=C2",1.82,174.1586,"C9H6N2O2"
4146,"CCOC(=O)C1=C(N)C=CC=C1",2.57,165.1914,"C9H11NO2"
4151,"O=NC1=C2C(=CC=C1O)C=CC=C2",2.28,173.1708,"C10H7NO2"
4152,"CC2=CC1=C(N=CC=C1)C=C2",2.47,143.1878,"C10H9N"
4153,"NC2=CC1=C(C=CC=C1)C=C2",2.28,143.1878,"C10H9N"
4154,"NC1=C2C(=CC=C1)C=CC=C2",2.25,143.1878,"C10H9N"
4159,"CC(NC1=C(C=C(C)C=C1C)[N+](=O)[O-])=O",1.18,208.2164,"C10H12N2O3"
4162,"CC(C)C1=CC=C(C)C=C1",4.1,134.2206,"C10H14"
4166,"CC1=C(Cl)C=CC(=C1)O",3.1,142.5847,"C7H7ClO"
4170,"O=C1C2=C(C(=O)C=C1C)C=CC=C2",2.2,172.183,"C11H8O2"
4171,"COC2=CC1=C(C=CC=C1)C=C2",3.47,158.1994,"C11H10O"
4197,"C(CCCCCCCCCCC(=O)OC)CCCC",7.38,270.4544,"C17H34O2"
4220,"CC1=C3C(=C(C)C2=C1C=CC=C2)C=CC=C3",5.69,206.2866,"C16H14"
4255,"O=C(COC1=CC=C(OC)C=C1)O",1.23,182.1756,"C9H10O4"
4265,"C3=CC1=C(C2=C(C=C1)C=CC=N2)N=C3",2.05,180.2086,"C12H8N2"
4273,"O=C(C1=C(C=CC=C1)NC2=CC=CC=C2)O",4.36,213.2354,"C13H11NO2"
4285,"O=C1C3=C(C(=O)C(=C1NC2=CC=CC=C2)Cl)C=CC=C3",4.22,283.7135,"C16H10ClNO2"
4389,"ClC1=CC(=CC(=C1)Cl)Cl",4.19,181.4487,"C6H3Cl3"
4505,"CC(C(=O)O)(C)O",-0.36,104.1054,"C4H8O3"
4507,"CC1=CC=C([NH]1)C",1.47,95.1438,"C6H9N"
4523,"O=C(/C=C/C1=CC=CC=C1)C2=CC=CC=C2",3.08,208.2592,"C15H12O"
4540,"FC(F)(F)C1=CC(=CC=C1)N",2.29,161.1263,"C7H6F3N"
4550,"CC(OCC1=CC=CC=C1)=O",1.96,150.1768,"C9H10O2"
4568,"C1(=CC=CC=C1)SC2=CC=CC=C2",4.45,186.271,"C12H10S"
4584,"CCCCCCCCCCCCC1=CC=CC=C1",8.65,246.435,"C18H30"
4592,"O=C1CCCO1",-0.64,86.0902,"C4H6O2"
4593,"O=C1CCCN1",-0.85,85.1054,"C4H7NO"
4594,"CN1C(=O)CCC1",-0.38,99.1322,"C5H9NO"
4596,"CC(C(Cl)(Cl)Cl)(C)O",2.03,177.4577,"C4H7Cl3O"
4614,"O=C(CC1=CC=C(C=C1)I)O",2.64,262.0466,"C8H7IO2"
4629,"C1(=CC=CC=C1)OC2=CC=C(N)C=C2",2.96,185.225,"C12H11NO"
4648,"CC(C)(C)O",0.35,74.1224,"C4H10O"
4649,"ClC1=CC=CC=N1",1.22,113.5463,"C5H4ClN"
4664,"[O-][N+](=O)C1=CC=C(C(=C1)N)O",1.26,154.125,"C6H6N2O3"
4672,"COC1=CC=C(F)C=C1",2.26,126.1301,"C7H7FO"
4682,"ClC2=CC1=C(N=CC=C1)C=C2",2.73,163.6061,"C9H6ClN"
4687,"CC(NC1=CC=C(OC)C=C1)=O",1.03,165.1914,"C9H11NO2"
4688,"CCOC(=O)C1=CC=C(N)C=C1",1.86,165.1914,"C9H11NO2"
4708,"C1(=CC=CC=C1)CC2=CC=CC=C2",4.14,168.2378,"C13H12"
4709,"C1(=CC=C(N)C=C1)CC2=CC=C(N)C=C2",1.59,198.267,"C13H14N2"
4732,"NC(NN)=O",-2.75,75.07,"CH5N3O"
4737,"CN1C(=S)SCN(C1)C",1.4,162.2674,"C5H10N2S2"
4738,"NC1=C(C=CC=C1)S",1.43,125.188,"C6H7NS"
4740,"OC(=O)C1=C(O)C=C(O)C=C1",1.63,154.122,"C7H6O4"
4746,"C=CCOC1=CC=CC=C1",2.94,134.1774,"C9H10O"
4753,"N(S(=O)(=O)C1=CC=C(N)C=C1)C2=CC=CC=N2",0.35,249.2868,"C11H11N3O2S"
4754,"C2(=C(NC1=CC=CC=C1)C=CC=C2)[N+](=O)[O-]",3.66,214.2232,"C12H10N2O2"
4765,"C=CC(=O)O",0.35,72.0634,"C3H4O2"
4769,"CC(C(=O)OC)=C",1.38,100.117,"C5H8O2"
4774,"O/N=C1\C=C/C(=N\O)C=C1",1.49,138.1256,"C6H6N2O2"
4776,"NC1=CC(=CC=C1)N",-0.33,108.1426,"C6H8N2"
4777,"NC1=CC=C(N)C=C1",-0.3,108.1426,"C6H8N2"
4795,"CC(OC1=CC(=CC=C1)C)=O",2.09,150.1768,"C9H10O2"
4796,"CC(OC(COC(C)=O)COC(C)=O)=O",0.25,218.206,"C9H14O6"
4802,"CC(C)(C)C1=CC=C(C(=O)O)C=C1",3.85,178.2304,"C11H14O2"
4839,"P(=O)(OCCOCCCC)(OCCOCCCC)OCCOCCCC",3.75,398.4757,"C18H39O7P"
4846,"OC=O",-0.54,46.0256,"CH2O2"
4852,"N#CCCC#N",-0.99,80.089,"C4H4N2"
4855,"CCCOC(N)=O",0.36,103.1206,"C4H9NO2"
4861,"[O-][N+](=O)C1=CC(=CC(=C1O)N)[N+](=O)[O-]",0.93,199.1226,"C6H5N3O5"
4865,"CCCS(=O)(CCC)=O",0.39,150.2354,"C6H14O2S"
4867,"O=S2(=O)C1=CC=CC=C1C(N2)=O",0.91,183.1814,"C7H5NO3S"
4875,"CCOC1=CC(=CC=C1)O",1.98,138.1658,"C8H10O2"
4881,"CC1(C)CC(=CC(C1)=O)C",1.7,138.209,"C9H14O"
4956,"[O-][N+](=O)C1=CC(=CC=C1)OC",2.16,153.1372,"C7H7NO3"
4957,"C#CC1=CC=CC=C1",2.53,102.1354,"C8H6"
4959,"OCCNCCO",-1.43,105.1364,"C4H11NO2"
4960,"COC1=CC=C(O)C=C1",1.58,124.139,"C7H8O2"
4961,"OC(=O)C1=CC=C(O)C=C1",1.58,138.1226,"C7H6O3"
4962,"CC1=C(O)C=CC(=C1)O",0.91,124.139,"C7H8O2"
4963,"CC(CNCC(C)O)O",-0.82,133.19,"C6H15NO2"
4964,"CC(C)C1=C(O)C=C(C)C(=C1)Cl",3.92,184.6651,"C10H13ClO"
4968,"CN(C(C)=O)C1=CC=C(O)C=C1",0.61,165.1914,"C9H11NO2"
4970,"BrC1=CC=C(O)C=C1",2.59,173.0089,"C6H5BrO"
4974,"C/C=N\O",-0.13,59.0676,"C2H5NO"
4993,"CN1N(C(=O)C(=C1C)N(C)C)C2=CC=CC=C2",1.0,231.2968,"C13H17N3O"
5024,"CCCCCCCC(=O)O",3.05,144.2132,"C8H16O2"
5025,"CCCCCCCCCC(=O)O",4.09,172.2668,"C10H20O2"
5026,"CCCCCCCCCCCC(=O)O",4.6,200.3204,"C12H24O2"
5027,"CCCCCCCCCCCC(=O)OC",5.41,214.3472,"C13H26O2"
5028,"C(CCCCCCCCCCC(=O)O)CC",6.11,228.374,"C14H28O2"
5029,"C(CCCCCCCCCCC(=O)OC)CC",6.41,242.4008,"C15H30O2"
5030,"C(CCCCCCCCCCC(=O)O)CCCC",7.17,256.4276,"C16H32O2"
5033,"NC(N)=S",-1.08,76.116,"CH4N2S"
5034,"OC1=C2C(=CC=C1N=O)C=CC=C2",2.46,173.1708,"C10H7NO2"
5036,"O=C1C2=C(N(C)C(N1C)=O)N=C[N]2C",-0.07,194.1926,"C8H10N4O2"
5039,"CN1C2=C(C(=O)NC1=O)[N](C)C=N2",-0.78,180.1658,"C7H8N4O2"
5050,"C(N(N=O)C1=CC=CC=C1)C2=CC=CC=C2",3.38,212.2506,"C13H12N2O"
5065,"CN1C(CCC1)C2=CC=CN=C2",1.17,162.234,"C10H14N2"
5073,"ONC(C)=O",-1.59,75.067,"C2H5NO2"
5076,"IC1=CC=CN=C1",1.8,204.9978,"C5H4IN"
5077,"FC1=CC=CC=N1",0.84,97.0917,"C5H4FN"
5078,"C1=CC=C(F)C=N1",0.77,97.0917,"C5H4FN"
5079,"[O-][N+](=O)C1=CC=[N+]([O-])C=C1",-0.55,140.0982,"C5H4N2O3"
5093,"C/1=C\C=C/C=C\C=C/1",3.08,104.1512,"C8H8"
5095,"CCC1=C([N+](=O)[O-])C=CC=C1",2.58,151.1646,"C8H9NO2"
5098,"NCC1=CC=C(C)C=C1",1.46,121.1816,"C8H11N"
5103,"CC(C)C1=C(O)C=CC=C1",2.88,136.1932,"C9H12O"
5105,"CC(C)C1=C(O)C(=CC=C1)C(C)C",3.79,178.2736,"C12H18O"
5114,"CC2(C)C1=C(C=CC=C1)C(O2)=O",1.73,162.1878,"C10H10O2"
5161,"C(/C=C/C(=O)OC)(OC)=O",0.74,144.1268,"C6H8O4"
5163,"CCCCOC(=O)C=C",2.36,128.1706,"C7H12O2"
5164,"C1CCCCCC1",4.0,98.1876,"C7H14"
5165,"O=C(COC1=C(C=CC=C1)OC)O",0.98,182.1756,"C9H10O4"
5167,"CC1=C(C)C=CC=C1C",3.66,120.1938,"C9H12"
5172,"OC2C1=C(C=CC=C1)CCC2",1.98,148.2042,"C10H12O"
5181,"O=C2C1=C(C=CC=C1)C3=CC=CC=C23",3.58,180.2056,"C13H8O"
5182,"[O-][N+](=O)C3=CC2=C(C1=CC=CC=C1C2)C=C3",3.37,211.2196,"C13H9NO2"
5185,"C(#CC1=CC=CC=C1)C2=CC=CC=C2",4.78,178.233,"C14H10"
5189,"O=C3C2=C1C(=CC=CC1=CC=C2)C4=CC=CC=C34",4.81,230.2654,"C17H10O"
5245,"C2(C1=CC=C(O)C=C1)CCCCC2",4.22,176.2578,"C12H16O"
5286,"OCC1=CC=C(Cl)C=C1",1.96,142.5847,"C7H7ClO"
5289,"CCOC(OCC)OCC",1.2,148.2016,"C7H16O3"
5292,"C1CCC2=C1C=CC=C2",3.18,118.178,"C9H10"
5293,"O=C(COC1=C(C=CC=C1)C)O",1.98,166.1762,"C9H10O3"
5303,"C(=C/C(=O)O)/C1=CC=C(OC)C=C1",2.68,178.1872,"C10H10O3"
5307,"OC(C(OCC)=O)C1=CC=CC=C1",1.53,180.203,"C10H12O3"
5322,"OC(=O)C2C1=C(C=CC=C1)C3=CC=CC=C23",2.8,210.2318,"C14H10O2"
5324,"OC(C1=CC=C(C)C=C1)C2=CC=CC=C2",3.13,198.264,"C14H14O"
5341,"O=S(N)(=O)C1=CC=CC=C1",0.31,157.1868,"C6H7NO2S"
5342,"CN(CC1=CC=CC=C1)C",1.98,135.2084,"C9H13N"
5348,"OC(=O)C1=C(C(=O)O)C=CC=C1",0.73,166.133,"C8H6O4"
5350,"CC(CCC)=O",0.91,86.1334,"C5H10O"
5353,"CC1=C(O)C(=CC(=C1)C)C",2.73,136.1932,"C9H12O"
5354,"NC1=C(N)C=CC=C1",0.15,108.1426,"C6H8N2"
5356,"CN(C=O)C",-1.01,73.0944,"C3H7NO"
5364,"OC(C1N2CC(C=C)C(C1)CC2)C3=C4C(=NC=C3)C=CC=C4",2.82,294.3956,"C19H22N2O"
5365,"O=C2N6C1C5(C4CC3C1C(C2)OCC=C3CN4CC5)C7=C6C=CC=C7",1.93,334.417,"C21H22N2O2"
5369,"CC([N+](=O)[O-])C",0.93,89.0938,"C3H7NO2"
5378,"[O-][N+](=O)C1=CC=C(N)C(=C1)N",0.88,153.1402,"C6H7N3O2"
5382,"[O-][N+](=O)C1=CC=CC(=C1)C#N",1.17,148.1208,"C7H4N2O2"
5383,"[O-][N+](=O)C1=CC=C(C#N)C=C1",1.19,148.1208,"C7H4N2O2"
5386,"[O-][N+](=O)C1=C(C)C=CC(=C1)Cl",3.05,171.5829,"C7H6ClNO2"
5387,"[O-][N+](=O)C1=C(O)C=CC(=C1)C",2.37,153.1372,"C7H7NO3"
5388,"[O-][N+](=O)C1=CC=CC(=C1)CO",1.21,153.1372,"C7H7NO3"
5389,"[O-][N+](=O)C1=CC=C(CO)C=C1",1.26,153.1372,"C7H7NO3"
5390,"[O-][N+](=O)C1=CC=C(NC)C=C1",2.04,152.1524,"C7H8N2O2"
5392,"N#CCCCCCC#N",0.05,122.1694,"C7H10N2"
5396,"[O-][N+](=O)C1=CC=C(CC#N)C=C1",1.37,162.1476,"C8H6N2O2"
5397,"[O-][N+](=O)C1=C(OC(C)=O)C=CC=C1",1.55,181.1476,"C8H7NO4"
5398,"O=C(CC1=CC=C(C=C1)[N+](=O)[O-])O",1.39,181.1476,"C8H7NO4"
5402,"[O-][N+](=O)C1=C(C)C(=CC=C1)C",2.83,151.1646,"C8H9NO2"
5420,"C2(=CC=C(OC1=CC=CC=C1)C=C2)[N+](=O)[O-]",3.92,215.208,"C12H9NO3"
5502,"[O-][N+](=O)C1=CC(=CC=C1)Cl",2.46,157.5561,"C6H4ClNO2"
5504,"[O-][N+](=O)C1=CC=CC(=C1)C=O",1.47,151.1214,"C7H5NO3"
5506,"COC1=C([N+](=O)[O-])C=CC=C1",1.73,153.1372,"C7H7NO3"
5507,"[O-][N+](=O)C1=CC=C(OC)C=C1",2.03,153.1372,"C7H7NO3"
5509,"[O-][N+](=O)C1=CC(=CC=C1N)OC",1.94,168.1518,"C7H8N2O3"
5510,"[O-][N+](=O)C1=CC=C(OC)C(=C1)N",1.47,168.1518,"C7H8N2O3"
5511,"CC(=O)C1=CC(=CC=C1)[N+](=O)[O-]",1.42,165.1482,"C8H7NO3"
5512,"NC(=O)C1=C(C(N)=O)C=CC=C1",-1.73,164.1634,"C8H8N2O2"
5513,"CCCCCCCC#N",2.75,125.2132,"C8H15N"
5516,"CC(NC1=C(C=C(OC)C=C1)[N+](=O)[O-])=O",1.09,210.189,"C9H10N2O4"
5517,"CN(C)C1=CC=C(C=O)C=C1",1.81,149.192,"C9H11NO"
5521,"CCCCCCCCCO",3.77,144.2564,"C9H20O"
5523,"O=S(=O)(C1=C2C(=CC=C1N)C=CC=C2)O",-1.16,223.246,"C10H9NO3S"
5571,"C(CC(=O)O)#N",-0.76,85.0622,"C3H3NO2"
5577,"[O-][N+](=O)C1=C(Cl)C(=C(Cl)C(=C1)Cl)Cl",3.93,260.8914,"C6HCl4NO2"
5583,"S=C=NC1=CC=CC=C1",3.28,135.1832,"C7H5NS"
5590,"O=CC1=CC=C(C=C1)OC",1.76,136.15,"C8H8O2"
5601,"CC(=O)C1=CC=C(OC)C=C1",1.74,150.1768,"C9H10O2"
5605,"CC(/C=C/C1=CC=CC=C1)=O",2.07,146.1884,"C10H10O"
5606,"O=C(NC1=CC=CC=C1)C(OCC)=O",1.48,193.2018,"C10H11NO3"
5707,"OCCCCC",1.51,88.1492,"C5H12O"
5708,"OCC(C)C",0.76,74.1224,"C4H10O"
5709,"[O-][N+](=O)C1=C(NN)C=CC(=C1)[N+](=O)[O-]",1.47,198.1378,"C6H6N4O4"
5710,"NNC1=CC=CC=C1",1.25,108.1426,"C6H8N2"
5711,"O=C1CCCCC1",0.81,98.1444,"C6H10O"
5712,"CC(CC(C)=O)C",1.31,100.1602,"C6H12O"
5713,"O=CC1=C(C=CC=C1)[N+](=O)[O-]",1.74,151.1214,"C7H5NO3"
5723,"BrC1=C(O)C=CC(=C1)Br",3.22,251.905,"C6H4Br2O"
5729,"C12=NN=N[N]1CCCCC2",0.14,138.1718,"C6H10N4"
5735,"CC(C)C1=C(O)C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]",3.1,226.1884,"C9H10N2O5"
5736,"OC1=C2C(=C(Cl)C=C1Cl)C=CC=C2",4.23,213.0628,"C10H6Cl2O"
5740,"CCCOC(=O)C1=CC=C(O)C=C1",3.04,180.203,"C10H12O3"
5746,"C[N]1C(=CN=C1)CC2C(CC)C(=O)OC2",0.12,208.2596,"C11H16N2O2"
5751,"OCC1OC(C(O)C(C1O)O)OC2=C(CO)C=CC=C2",-1.22,286.281,"C13H18O7"
5779,"C1(=CC=CC=C1)NC(N)=S",0.71,152.2136,"C7H8N2S"
5861,"NCCCCN",-0.7,88.1522,"C4H12N2"
5873,"CN2C1=C(C=CC=C1)C=CC2=O",1.45,159.1872,"C10H9NO"
